UF,Programa Local,Previsto Original em 2022,Previsto Ajustado em 2022,Despesa Executado em 2022,Total de Atendimentos em 2022,,Ano,Mes,Previsto Original em 2021,Previsto Ajustado em 2021,Despesa Executado em 2021,Total de Atendimentos em 2021,Previsto Original em 2020,Previsto Ajustado em 2020,Despesa Executado em 2020,Total de Atendimentos em 2020,Previsto Original em 2025,Previsto Ajustado em 2025,Despesa Executado em 2025,Total de Atendimentos em 2025,Previsto Original em 2024,Previsto Ajustado em 2024,Despesa Executado em 2024,Total de Atendimentos em 2024,Previsto Original em 2023,Previsto Ajustado em 2023,Despesa Executado em 2023,Total de Atendimentos em 2023,Previsto Original em 2015,Previsto Ajustado em 2015,Despesa Executado em 2015,Total de Atendimentos em 2015,Previsto Original em 2017,Previsto Ajustado em 2017,Despesa Executado em 2017,Total de Atendimentos em 2017,Previsto Original em 2016,Previsto Ajustado em 2016,Despesa Executado em 2016,Total de Atendimentos em 2016,Previsto Original em 2018,Previsto Ajustado em 2018,Despesa Executado em 2018,Total de Atendimentos em 2018
AM,Capital Humano e Clima Organizacional,"R$2.801.000,00","R$3.630.474,00","R$2.999.863,73",0,,2022,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AM,"Fábrica de conteúdo, dados, produtos e serviços","R$0,00","R$548.692,00","R$402.744,50",0,,2022,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AM,PG Parceria com a AFEAM,"R$0,00","R$1.599.000,00","R$1.449.368,13",13.154,,2022,Novembro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AM,Capital Humano e Clima Organizacional,nan,nan,nan,nan,,2021,Novembro,"R$23.749.544,00","R$24.411.142,00","R$23.786.604,61",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AM,Competitividade e Mercado,nan,nan,nan,nan,,2021,Novembro,"R$395.000,00","R$980.300,00","R$633.410,73",8.303,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AM,Eficiência financeira,nan,nan,nan,nan,,2021,Novembro,"R$12.275.278,00","R$16.011.573,00","R$11.461.495,35",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AM,Eficiência operacional do Sebrae-Am,nan,nan,nan,nan,,2021,Novembro,"R$3.702.145,00","R$5.356.080,00","R$3.155.849,20",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AM,"Fábrica de conteúdo, dados, produtos e serviços",nan,nan,nan,nan,,2021,Novembro,"R$1.139.000,00","R$1.143.000,00","R$443.561,12",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AM,Informações qualificadas,nan,nan,nan,nan,,2021,Novembro,"R$377.250,00","R$272.750,00","R$200.136,77",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AM,Capital Humano e Clima Organizacional,nan,nan,nan,nan,,2020,Novembro,nan,nan,nan,nan,"R$30.804.501,00","R$29.472.372,00","R$26.305.713,32",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AM,Competitividade e Mercado,nan,nan,nan,nan,,2020,Novembro,nan,nan,nan,nan,"R$118.900,00","R$353.614,00","R$44.007,13",648,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AM,Eficiência financeira,nan,nan,nan,nan,,2020,Novembro,nan,nan,nan,nan,"R$7.712.847,00","R$5.893.162,00","R$3.652.618,77",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AM,Eficiência operacional do Sebrae-Am,nan,nan,nan,nan,,2020,Novembro,nan,nan,nan,nan,"R$7.660.681,00","R$12.393.285,00","R$10.930.981,39",0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
