UF,Programa Nacional,Previsto Original em 2025,Previsto Ajustado em 2025,Despesa Executado em 2025,Total de Atendimentos em 2025,Unnamed: 6,Ano,Mes
AL,Saber em Ação,"R$500.000,00","R$500.000,00","R$249.253,48",0.0,,2025,Julho
AL,Cidades e Territórios Empreendedores,"R$2.250.000,00","R$2.297.664,00","R$856.256,98",13.0,,2025,Agosto
AL,Cliente 360,"R$19.802.191,00","R$19.802.191,00","R$6.801.779,70",139.682,,2025,Agosto
AL,Conecta Tech,"R$700.000,00","R$700.000,00","R$94.410,10",0.0,,2025,Agosto
AL,Conexão Financeira,"R$200.000,00","R$500.000,00","R$50.649,44",516.0,,2025,Agosto
AL,Conexões Corporativas,"R$100.000,00","R$100.000,00","R$0,00",0.0,,2025,Agosto
AL,DataBiz,"R$1.174.000,00","R$1.174.000,00","R$556.542,93",0.0,,2025,Agosto
AL,Educação que Transforma,"R$500.000,00","R$877.792,00","R$488.229,35",8.226,,2025,Agosto
AL,Governança Empreendedora,"R$200.000,00","R$192.400,00","R$23.516,00",0.0,,2025,Agosto
AL,Humanizar,"R$1.000.000,00","R$1.000.000,00","R$321.610,02",0.0,,2025,Agosto
AL,Impulsionar Negócios,"R$11.539.481,00","R$11.099.481,00","R$4.710.606,80",5.666,,2025,Agosto
AL,Impulso Tecnológico,"R$3.629.000,00","R$4.229.000,00","R$2.733.165,77",1.0,,2025,Agosto
AL,Move + Vendas,"R$1.000.000,00","R$1.000.000,00","R$168.085,17",46.0,,2025,Agosto
AL,Plural,"R$1.600.000,00","R$1.880.000,00","R$1.429.482,73",1.502,,2025,Agosto
AL,Saber em Ação,"R$500.000,00","R$500.000,00","R$272.013,48",0.0,,2025,Agosto
AL,Conexões Corporativas,"R$720.000,00","R$720.000,00","R$0,00",0.0,,2025,Setembro
AL,Governança Empreendedora,"R$1.320.000,00","R$1.288.200,00","R$53.500,00",0.0,,2025,Outubro
AL,Conexões Corporativas,"R$800.000,00","R$800.000,00","R$0,00",0.0,,2025,Novembro
AL,Saber em Ação,"R$4.000.000,00","R$4.000.000,00","R$1.089.899,63",0.0,,2025,Novembro
AP,Cidades e Territórios Empreendedores,"R$2.428.880,00","R$2.428.880,00","R$19.191,36",0.0,,2025,Janeiro
AP,Cliente 360,"R$13.860.000,00","R$13.860.000,00","R$163.907,23",2.695,,2025,Janeiro
AP,Conecta Tech,"R$1.400.000,00","R$1.400.000,00","R$0,00",0.0,,2025,Janeiro
AP,Educação que Transforma,"R$1.260.000,00","R$1.260.000,00","R$34.345,30",0.0,,2025,Janeiro
AP,Governança Empreendedora,"R$1.100.000,00","R$1.100.000,00","R$0,00",0.0,,2025,Janeiro
AP,Humanizar,"R$700.000,00","R$700.000,00","R$1.390,84",0.0,,2025,Janeiro
AP,Impulsionar Negócios,"R$6.720.000,00","R$6.720.000,00","R$65.921,59",29.0,,2025,Janeiro
AP,Impulso Tecnológico,"R$1.750.000,00","R$1.750.000,00","R$2.730,00",1.0,,2025,Janeiro
AP,Move + Vendas,"R$678.000,00","R$678.000,00","R$0,00",0.0,,2025,Janeiro
AP,Plural,"R$500.000,00","R$500.000,00","R$0,00",0.0,,2025,Janeiro
AP,Cidades e Territórios Empreendedores,"R$2.428.880,00","R$2.428.880,00","R$64.132,10",0.0,,2025,Fevereiro
AP,Cliente 360,"R$13.860.000,00","R$13.860.000,00","R$531.931,15",5.107,,2025,Fevereiro
AP,Conecta Tech,"R$1.400.000,00","R$1.400.000,00","R$146.097,55",0.0,,2025,Fevereiro
AP,Conexão Financeira,"R$700.000,00","R$700.000,00","R$9.097,18",78.0,,2025,Fevereiro
AP,DataBiz,"R$150.000,00","R$150.000,00","R$0,00",0.0,,2025,Fevereiro
AP,Educação que Transforma,"R$1.260.000,00","R$1.260.000,00","R$126.115,98",200.0,,2025,Fevereiro
AP,Governança Empreendedora,"R$1.100.000,00","R$1.100.000,00","R$12.433,92",0.0,,2025,Fevereiro
AP,Humanizar,"R$700.000,00","R$700.000,00","R$2.781,68",0.0,,2025,Fevereiro
AP,Impulsionar Negócios,"R$6.720.000,00","R$6.720.000,00","R$204.462,99",171.0,,2025,Fevereiro
AP,Impulso Tecnológico,"R$1.750.000,00","R$1.750.000,00","R$34.132,14",2.0,,2025,Fevereiro
AP,Move + Vendas,"R$678.000,00","R$678.000,00","R$0,00",0.0,,2025,Fevereiro
AP,Plural,"R$500.000,00","R$500.000,00","R$6.887,28",0.0,,2025,Fevereiro
AP,Cidades e Territórios Empreendedores,"R$2.428.880,00","R$2.428.880,00","R$139.669,21",0.0,,2025,Março
AP,Cliente 360,"R$13.860.000,00","R$13.860.000,00","R$1.008.986,53",8.076,,2025,Março
AP,Conecta Tech,"R$1.400.000,00","R$1.400.000,00","R$191.742,25",0.0,,2025,Março
AP,Conexão Financeira,"R$700.000,00","R$700.000,00","R$26.183,18",189.0,,2025,Março
AP,DataBiz,"R$150.000,00","R$150.000,00","R$4.892,65",0.0,,2025,Março
AP,Educação que Transforma,"R$1.260.000,00","R$1.260.000,00","R$238.881,78",200.0,,2025,Março
AP,Governança Empreendedora,"R$1.100.000,00","R$1.100.000,00","R$15.433,92",0.0,,2025,Março
AP,Humanizar,"R$700.000,00","R$700.000,00","R$21.373,52",0.0,,2025,Março
AP,Impulsionar Negócios,"R$6.720.000,00","R$6.720.000,00","R$558.611,92",344.0,,2025,Março
AP,Impulso Tecnológico,"R$1.750.000,00","R$1.750.000,00","R$144.573,89",32.0,,2025,Março
AP,Move + Vendas,"R$678.000,00","R$678.000,00","R$0,00",0.0,,2025,Março
AP,Plural,"R$500.000,00","R$500.000,00","R$15.828,78",0.0,,2025,Março
AP,Cidades e Territórios Empreendedores,"R$2.428.880,00","R$2.428.880,00","R$281.358,21",0.0,,2025,Abril
AP,Cliente 360,"R$13.860.000,00","R$13.860.000,00","R$1.703.681,95",11.119,,2025,Abril
AP,Conecta Tech,"R$1.400.000,00","R$1.400.000,00","R$288.247,72",0.0,,2025,Abril
AP,Conexão Financeira,"R$700.000,00","R$700.000,00","R$53.438,02",304.0,,2025,Abril
AP,DataBiz,"R$150.000,00","R$150.000,00","R$18.332,65",0.0,,2025,Abril
AP,Educação que Transforma,"R$1.260.000,00","R$1.260.000,00","R$346.081,14",200.0,,2025,Abril
AP,Governança Empreendedora,"R$1.100.000,00","R$1.100.000,00","R$89.022,50",0.0,,2025,Abril
AP,Humanizar,"R$700.000,00","R$700.000,00","R$24.452,75",0.0,,2025,Abril
AP,Impulsionar Negócios,"R$6.720.000,00","R$6.720.000,00","R$1.114.747,83",579.0,,2025,Abril
AP,Impulso Tecnológico,"R$1.750.000,00","R$5.250.000,00","R$274.286,53",206.0,,2025,Abril
AP,Move + Vendas,"R$678.000,00","R$678.000,00","R$0,00",0.0,,2025,Abril
AP,Plural,"R$500.000,00","R$500.000,00","R$41.672,40",0.0,,2025,Abril
AP,Cidades e Territórios Empreendedores,"R$2.428.880,00","R$2.490.617,00","R$382.903,98",0.0,,2025,Maio
AP,Cliente 360,"R$13.860.000,00","R$13.860.000,00","R$2.843.833,44",16.012,,2025,Maio
AP,Conecta Tech,"R$1.400.000,00","R$1.400.000,00","R$395.612,72",0.0,,2025,Maio
AP,Conexão Financeira,"R$700.000,00","R$700.000,00","R$136.694,36",486.0,,2025,Maio
AP,DataBiz,"R$150.000,00","R$150.000,00","R$18.332,65",0.0,,2025,Maio
AP,Educação que Transforma,"R$1.260.000,00","R$1.260.000,00","R$469.220,58",219.0,,2025,Maio
AP,Governança Empreendedora,"R$1.100.000,00","R$1.100.000,00","R$200.469,19",0.0,,2025,Maio
AP,Humanizar,"R$700.000,00","R$700.000,00","R$25.913,93",0.0,,2025,Maio
AP,Impulsionar Negócios,"R$6.720.000,00","R$6.720.000,00","R$1.507.890,13",768.0,,2025,Maio
AP,Impulso Tecnológico,"R$1.750.000,00","R$5.250.000,00","R$3.723.425,83",482.0,,2025,Maio
AP,Move + Vendas,"R$678.000,00","R$678.000,00","R$0,00",0.0,,2025,Maio
AP,Plural,"R$500.000,00","R$500.000,00","R$66.844,93",0.0,,2025,Maio
AP,Cidades e Territórios Empreendedores,"R$2.428.880,00","R$2.490.617,00","R$456.425,76",0.0,,2025,Junho
AP,Cliente 360,"R$13.860.000,00","R$13.860.000,00","R$3.900.632,85",19.726,,2025,Junho
AP,Conecta Tech,"R$1.400.000,00","R$1.400.000,00","R$395.612,72",0.0,,2025,Junho
