UF,Programa Local,Previsto Original em 2025,Previsto Ajustado em 2025,Despesa Executado em 2025,Total de Atendimentos em 2025,Unnamed: 6,Ano,Mes
MS,MS - Impulsionamento da presença digital,"R$4.900.000,00","R$4.900.000,00","R$445.508,29",0.0,,2025,Março
MS,MS - Inova TI,"R$7.500.000,00","R$6.577.293,00","R$237.883,08",0.0,,2025,Março
MS,MS - Inovação e Negócios,"R$2.800.000,00","R$2.800.000,00","R$313.498,05",596.0,,2025,Março
MS,MS - Parcerias Estratégicas,"R$2.000.000,00","R$3.000.000,00","R$930.552,44",0.0,,2025,Março
MS,MS - Apoio e Fomento ao Associativismo,"R$500.000,00","R$500.000,00","R$98.968,25",57.0,,2025,Abril
MS,MS - Estratégia de Centralidade no Cliente,"R$2.500.000,00","R$2.500.000,00","R$512.815,59",0.0,,2025,Abril
MS,MS - Fortalecimento do  Turismo Local,"R$2.026.279,00","R$2.026.279,00","R$977.179,72",0.0,,2025,Abril
MS,MS - Impulsionamento da presença digital,"R$4.900.000,00","R$4.900.000,00","R$823.502,96",0.0,,2025,Abril
MS,MS - Inova TI,"R$7.500.000,00","R$754.361,00","R$586.340,47",0.0,,2025,Abril
MS,MS - Inovação e Negócios,"R$2.800.000,00","R$2.800.000,00","R$515.455,74",872.0,,2025,Abril
MS,MS - Parcerias Estratégicas,"R$2.000.000,00","R$3.000.000,00","R$1.305.906,40",220.0,,2025,Abril
MS,MS - Apoio e Fomento ao Associativismo,"R$500.000,00","R$500.000,00","R$141.757,25",57.0,,2025,Maio
MS,MS - Estratégia de Centralidade no Cliente,"R$2.500.000,00","R$2.500.000,00","R$715.782,52",2.0,,2025,Maio
MS,MS - Fortalecimento do  Turismo Local,"R$2.026.279,00","R$2.026.279,00","R$1.293.649,93",0.0,,2025,Maio
MS,MS - Impulsionamento da presença digital,"R$4.900.000,00","R$4.900.000,00","R$1.155.115,87",0.0,,2025,Maio
MS,MS - Inova TI,"R$7.500.000,00","R$754.361,00","R$634.291,01",0.0,,2025,Maio
MS,MS - Inovação e Negócios,"R$2.800.000,00","R$2.800.000,00","R$691.003,01",1.159,,2025,Maio
MS,MS - Parcerias Estratégicas,"R$2.000.000,00","R$3.200.000,00","R$2.042.104,77",529.0,,2025,Maio
MS,MS - Apoio e Fomento ao Associativismo,"R$500.000,00","R$500.000,00","R$191.731,25",57.0,,2025,Junho
MS,MS - Estratégia de Centralidade no Cliente,"R$2.500.000,00","R$2.500.000,00","R$1.338.247,30",3.0,,2025,Junho
MS,MS - Fortalecimento do  Turismo Local,"R$2.026.279,00","R$2.026.279,00","R$1.348.944,93",0.0,,2025,Junho
MS,MS - Impulsionamento da presença digital,"R$4.900.000,00","R$4.900.000,00","R$1.405.818,79",0.0,,2025,Junho
MS,MS - Inova TI,"R$7.500.000,00","R$754.361,00","R$670.841,78",0.0,,2025,Junho
MS,MS - Inovação e Negócios,"R$2.800.000,00","R$2.800.000,00","R$1.648.826,09",1.237,,2025,Junho
MS,MS - Parcerias Estratégicas,"R$2.000.000,00","R$3.200.000,00","R$2.509.830,06",475.0,,2025,Junho
MS,MS - Apoio e Fomento ao Associativismo,"R$500.000,00","R$500.000,00","R$231.421,25",57.0,,2025,Julho
MS,MS - Estratégia de Centralidade no Cliente,"R$2.500.000,00","R$3.500.000,00","R$2.300.251,97",47.0,,2025,Julho
MS,MS - Fortalecimento do  Turismo Local,"R$2.026.279,00","R$2.026.279,00","R$1.353.916,53",0.0,,2025,Julho
MS,MS - Impulsionamento da presença digital,"R$4.900.000,00","R$4.900.000,00","R$1.775.978,68",0.0,,2025,Julho
MS,MS - Inova TI,"R$7.500.000,00","R$2.096.428,00","R$1.189.461,82",0.0,,2025,Julho
MS,MS - Inovação e Negócios,"R$2.800.000,00","R$2.800.000,00","R$1.122.454,16",1.661,,2025,Julho
MS,MS - Parcerias Estratégicas,"R$2.000.000,00","R$5.000.000,00","R$2.983.661,46",622.0,,2025,Julho
MS,MS - Apoio e Fomento ao Associativismo,"R$500.000,00","R$500.000,00","R$231.421,25",57.0,,2025,Agosto
MS,MS - Estratégia de Centralidade no Cliente,"R$2.500.000,00","R$3.500.000,00","R$2.508.122,73",47.0,,2025,Agosto
MS,MS - Fortalecimento do  Turismo Local,"R$2.026.279,00","R$2.026.279,00","R$1.356.692,78",0.0,,2025,Agosto
MS,MS - Impulsionamento da presença digital,"R$4.900.000,00","R$4.900.000,00","R$1.857.856,95",0.0,,2025,Agosto
MS,MS - Inova TI,"R$7.500.000,00","R$2.096.428,00","R$1.225.449,84",0.0,,2025,Agosto
MS,MS - Inovação e Negócios,"R$2.800.000,00","R$2.800.000,00","R$1.330.800,51",1.995,,2025,Agosto
MS,MS - Parcerias Estratégicas,"R$2.000.000,00","R$5.000.000,00","R$3.069.979,86",370.0,,2025,Agosto
PA,PA - Al Investe Verde 2025,"R$1.550.000,00","R$1.550.000,00","R$0,00",0.0,,2025,Janeiro
PA,PA - Comunicação em Rede - PA,"R$3.500.000,00","R$3.500.000,00","R$435.730,72",0.0,,2025,Janeiro
PA,PA - COP 30 Pará,"R$6.000.000,00","R$6.000.000,00","R$66.815,59",0.0,,2025,Janeiro
PA,PA - Gestão da Estratégia Pará,"R$2.400.000,00","R$3.000.000,00","R$59.487,70",0.0,,2025,Janeiro
PA,PA - Sustenta Inova 2025,"R$600.000,00","R$600.000,00","R$248,00",0.0,,2025,Janeiro
PA,PA - Al Investe Verde 2025,"R$1.550.000,00","R$1.550.000,00","R$1.281,00",0.0,,2025,Fevereiro
PA,PA - Comunicação em Rede - PA,"R$3.500.000,00","R$3.500.000,00","R$1.064.941,33",0.0,,2025,Fevereiro
PA,PA - COP 30 Pará,"R$6.000.000,00","R$6.000.000,00","R$246.586,17",0.0,,2025,Fevereiro
PA,PA - Gestão da Estratégia Pará,"R$2.400.000,00","R$3.000.000,00","R$230.165,16",0.0,,2025,Fevereiro
PA,PA - Gestão de Soluções - PA,"R$700.000,00","R$700.000,00","R$40.297,04",0.0,,2025,Fevereiro
PA,PA - Sustenta Inova 2025,"R$600.000,00","R$1.341.530,00","R$2.048,00",3.0,,2025,Fevereiro
PA,PA - Al Investe Verde 2025,"R$1.550.000,00","R$1.550.000,00","R$1.281,00",0.0,,2025,Março
